#data for Fig. 1(b)
#tau: evolution time
#x1,x2: coordinates of holes in leg 1,2.
#Chh: hole-hole correlator C_hh(x1,x2; tau) giving the joint probability of finding holes at x1, x2.
#max[Chh]: maximum of the correlator at this timestep: max_{x1,x2}[C_hh(x1,x2; tau)]

tau   x_1     x_2    Chh  max[Chh]

0 	 -4 	 -10 	 0 	 1 
0 	 -4 	 -9 	 0 	 1 
0 	 -4 	 -8 	 0 	 1 
0 	 -4 	 -7 	 0 	 1 
0 	 -4 	 -6 	 0 	 1 
0 	 -4 	 -5 	 0 	 1 
0 	 -4 	 -4 	 0 	 1 
0 	 -4 	 -3 	 0 	 1 
0 	 -4 	 -2 	 0 	 1 
0 	 -4 	 -1 	 0 	 1 
0 	 -4 	 0 	 0 	 1 
0 	 -4 	 1 	 0 	 1 
0 	 -4 	 2 	 0 	 1 
0 	 -4 	 3 	 0 	 1 
0 	 -4 	 4 	 0 	 1 
0 	 -4 	 5 	 0 	 1 
0 	 -4 	 6 	 0 	 1 
0 	 -4 	 7 	 0 	 1 
0 	 -4 	 8 	 0 	 1 
0 	 -4 	 9 	 0 	 1 
0 	 -4 	 10 	 0 	 1 
0 	 -4 	 11 	 0 	 1 
0 	 -4 	 12 	 0 	 1 
0 	 -4 	 13 	 0 	 1 
0 	 -4 	 14 	 0 	 1 
0 	 -4 	 15 	 0 	 1 
0 	 -4 	 16 	 0 	 1 
0 	 -4 	 17 	 0 	 1 
0 	 -4 	 18 	 0 	 1 
0 	 -4 	 19 	 0 	 1 
0 	 -4 	 20 	 0 	 1 

0 	 -3 	 -20 	 0 	 1 
0 	 -3 	 -19 	 0 	 1 
0 	 -3 	 -18 	 0 	 1 
0 	 -3 	 -17 	 0 	 1 
0 	 -3 	 -16 	 0 	 1 
0 	 -3 	 -15 	 0 	 1 
0 	 -3 	 -14 	 0 	 1 
0 	 -3 	 -13 	 0 	 1 
0 	 -3 	 -12 	 0 	 1 
0 	 -3 	 -11 	 0 	 1 
0 	 -3 	 -10 	 0 	 1 
0 	 -3 	 -9 	 0 	 1 
0 	 -3 	 -8 	 0 	 1 
0 	 -3 	 -7 	 0 	 1 
0 	 -3 	 -6 	 0 	 1 
0 	 -3 	 -5 	 0 	 1 
0 	 -3 	 -4 	 0 	 1 
0 	 -3 	 -3 	 0 	 1 
0 	 -3 	 -2 	 0 	 1 
0 	 -3 	 -1 	 0 	 1 
0 	 -3 	 0 	 0 	 1 
0 	 -3 	 1 	 0 	 1 
0 	 -3 	 2 	 0 	 1 
0 	 -3 	 3 	 0 	 1 
0 	 -3 	 4 	 0 	 1 
0 	 -3 	 5 	 0 	 1 
0 	 -3 	 6 	 0 	 1 
0 	 -3 	 7 	 0 	 1 
0 	 -3 	 8 	 0 	 1 
0 	 -3 	 9 	 0 	 1 
0 	 -3 	 10 	 0 	 1 
0 	 -3 	 11 	 0 	 1 
0 	 -3 	 12 	 0 	 1 
0 	 -3 	 13 	 0 	 1 
0 	 -3 	 14 	 0 	 1 
0 	 -3 	 15 	 0 	 1 
0 	 -3 	 16 	 0 	 1 
0 	 -3 	 17 	 0 	 1 
0 	 -3 	 18 	 0 	 1 
0 	 -3 	 19 	 0 	 1 
0 	 -3 	 20 	 0 	 1 

0 	 -2 	 -20 	 0 	 1 
0 	 -2 	 -19 	 0 	 1 
0 	 -2 	 -18 	 0 	 1 
0 	 -2 	 -17 	 0 	 1 
0 	 -2 	 -16 	 0 	 1 
0 	 -2 	 -15 	 0 	 1 
0 	 -2 	 -14 	 0 	 1 
0 	 -2 	 -13 	 0 	 1 
0 	 -2 	 -12 	 0 	 1 
0 	 -2 	 -11 	 0 	 1 
0 	 -2 	 -10 	 0 	 1 
0 	 -2 	 -9 	 0 	 1 
0 	 -2 	 -8 	 0 	 1 
0 	 -2 	 -7 	 0 	 1 
0 	 -2 	 -6 	 0 	 1 
0 	 -2 	 -5 	 0 	 1 
0 	 -2 	 -4 	 0 	 1 
0 	 -2 	 -3 	 0 	 1 
0 	 -2 	 -2 	 0 	 1 
0 	 -2 	 -1 	 0 	 1 
0 	 -2 	 0 	 0 	 1 
0 	 -2 	 1 	 0 	 1 
0 	 -2 	 2 	 0 	 1 
0 	 -2 	 3 	 0 	 1 
0 	 -2 	 4 	 0 	 1 
0 	 -2 	 5 	 0 	 1 
0 	 -2 	 6 	 0 	 1 
0 	 -2 	 7 	 0 	 1 
0 	 -2 	 8 	 0 	 1 
0 	 -2 	 9 	 0 	 1 
0 	 -2 	 10 	 0 	 1 
0 	 -2 	 11 	 0 	 1 
0 	 -2 	 12 	 0 	 1 
0 	 -2 	 13 	 0 	 1 
0 	 -2 	 14 	 0 	 1 
0 	 -2 	 15 	 0 	 1 
0 	 -2 	 16 	 0 	 1 
0 	 -2 	 17 	 0 	 1 
0 	 -2 	 18 	 0 	 1 
0 	 -2 	 19 	 0 	 1 
0 	 -2 	 20 	 0 	 1 

0 	 -1 	 -20 	 0 	 1 
0 	 -1 	 -19 	 0 	 1 
0 	 -1 	 -18 	 0 	 1 
0 	 -1 	 -17 	 0 	 1 
0 	 -1 	 -16 	 0 	 1 
0 	 -1 	 -15 	 0 	 1 
0 	 -1 	 -14 	 0 	 1 
0 	 -1 	 -13 	 0 	 1 
0 	 -1 	 -12 	 0 	 1 
0 	 -1 	 -11 	 0 	 1 
0 	 -1 	 -10 	 0 	 1 
0 	 -1 	 -9 	 0 	 1 
0 	 -1 	 -8 	 0 	 1 
0 	 -1 	 -7 	 0 	 1 
0 	 -1 	 -6 	 0 	 1 
0 	 -1 	 -5 	 0 	 1 
0 	 -1 	 -4 	 0 	 1 
0 	 -1 	 -3 	 0 	 1 
0 	 -1 	 -2 	 0 	 1 
0 	 -1 	 -1 	 0 	 1 
0 	 -1 	 0 	 0 	 1 
0 	 -1 	 1 	 0 	 1 
0 	 -1 	 2 	 0 	 1 
0 	 -1 	 3 	 0 	 1 
0 	 -1 	 4 	 0 	 1 
0 	 -1 	 5 	 0 	 1 
0 	 -1 	 6 	 0 	 1 
0 	 -1 	 7 	 0 	 1 
0 	 -1 	 8 	 0 	 1 
0 	 -1 	 9 	 0 	 1 
0 	 -1 	 10 	 0 	 1 
0 	 -1 	 11 	 0 	 1 
0 	 -1 	 12 	 0 	 1 
0 	 -1 	 13 	 0 	 1 
0 	 -1 	 14 	 0 	 1 
0 	 -1 	 15 	 0 	 1 
0 	 -1 	 16 	 0 	 1 
0 	 -1 	 17 	 0 	 1 
0 	 -1 	 18 	 0 	 1 
0 	 -1 	 19 	 0 	 1 
0 	 -1 	 20 	 0 	 1 

0 	 0 	 -20 	 0 	 1 
0 	 0 	 -19 	 0 	 1 
0 	 0 	 -18 	 0 	 1 
0 	 0 	 -17 	 0 	 1 
0 	 0 	 -16 	 0 	 1 
0 	 0 	 -15 	 0 	 1 
0 	 0 	 -14 	 0 	 1 
0 	 0 	 -13 	 0 	 1 
0 	 0 	 -12 	 0 	 1 
0 	 0 	 -11 	 0 	 1 
0 	 0 	 -10 	 0 	 1 
0 	 0 	 -9 	 0 	 1 
0 	 0 	 -8 	 0 	 1 
0 	 0 	 -7 	 0 	 1 
0 	 0 	 -6 	 0 	 1 
0 	 0 	 -5 	 0 	 1 
0 	 0 	 -4 	 0 	 1 
0 	 0 	 -3 	 0 	 1 
0 	 0 	 -2 	 0 	 1 
0 	 0 	 -1 	 0 	 1 
0 	 0 	 0 	 1 	 1 
0 	 0 	 1 	 0 	 1 
0 	 0 	 2 	 0 	 1 
0 	 0 	 3 	 0 	 1 
0 	 0 	 4 	 0 	 1 
0 	 0 	 5 	 0 	 1 
0 	 0 	 6 	 0 	 1 
0 	 0 	 7 	 0 	 1 
0 	 0 	 8 	 0 	 1 
0 	 0 	 9 	 0 	 1 
0 	 0 	 10 	 0 	 1 
0 	 0 	 11 	 0 	 1 
0 	 0 	 12 	 0 	 1 
0 	 0 	 13 	 0 	 1 
0 	 0 	 14 	 0 	 1 
0 	 0 	 15 	 0 	 1 
0 	 0 	 16 	 0 	 1 
0 	 0 	 17 	 0 	 1 
0 	 0 	 18 	 0 	 1 
0 	 0 	 19 	 0 	 1 
0 	 0 	 20 	 0 	 1 

0 	 1 	 -20 	 0 	 1 
0 	 1 	 -19 	 0 	 1 
0 	 1 	 -18 	 0 	 1 
0 	 1 	 -17 	 0 	 1 
0 	 1 	 -16 	 0 	 1 
0 	 1 	 -15 	 0 	 1 
0 	 1 	 -14 	 0 	 1 
0 	 1 	 -13 	 0 	 1 
0 	 1 	 -12 	 0 	 1 
0 	 1 	 -11 	 0 	 1 
0 	 1 	 -10 	 0 	 1 
0 	 1 	 -9 	 0 	 1 
0 	 1 	 -8 	 0 	 1 
0 	 1 	 -7 	 0 	 1 
0 	 1 	 -6 	 0 	 1 
0 	 1 	 -5 	 0 	 1 
0 	 1 	 -4 	 0 	 1 
0 	 1 	 -3 	 0 	 1 
0 	 1 	 -2 	 0 	 1 
0 	 1 	 -1 	 0 	 1 
0 	 1 	 0 	 0 	 1 
0 	 1 	 1 	 0 	 1 
0 	 1 	 2 	 0 	 1 
0 	 1 	 3 	 0 	 1 
0 	 1 	 4 	 0 	 1 
0 	 1 	 5 	 0 	 1 
0 	 1 	 6 	 0 	 1 
0 	 1 	 7 	 0 	 1 
0 	 1 	 8 	 0 	 1 
0 	 1 	 9 	 0 	 1 
0 	 1 	 10 	 0 	 1 
0 	 1 	 11 	 0 	 1 
0 	 1 	 12 	 0 	 1 
0 	 1 	 13 	 0 	 1 
0 	 1 	 14 	 0 	 1 
0 	 1 	 15 	 0 	 1 
0 	 1 	 16 	 0 	 1 
0 	 1 	 17 	 0 	 1 
0 	 1 	 18 	 0 	 1 
0 	 1 	 19 	 0 	 1 
0 	 1 	 20 	 0 	 1 

0 	 2 	 -20 	 0 	 1 
0 	 2 	 -19 	 0 	 1 
0 	 2 	 -18 	 0 	 1 
0 	 2 	 -17 	 0 	 1 
0 	 2 	 -16 	 0 	 1 
0 	 2 	 -15 	 0 	 1 
0 	 2 	 -14 	 0 	 1 
0 	 2 	 -13 	 0 	 1 
0 	 2 	 -12 	 0 	 1 
0 	 2 	 -11 	 0 	 1 
0 	 2 	 -10 	 0 	 1 
0 	 2 	 -9 	 0 	 1 
0 	 2 	 -8 	 0 	 1 
0 	 2 	 -7 	 0 	 1 
0 	 2 	 -6 	 0 	 1 
0 	 2 	 -5 	 0 	 1 
0 	 2 	 -4 	 0 	 1 
0 	 2 	 -3 	 0 	 1 
0 	 2 	 -2 	 0 	 1 
0 	 2 	 -1 	 0 	 1 
0 	 2 	 0 	 0 	 1 
0 	 2 	 1 	 0 	 1 
0 	 2 	 2 	 0 	 1 
0 	 2 	 3 	 0 	 1 
0 	 2 	 4 	 0 	 1 
0 	 2 	 5 	 0 	 1 
0 	 2 	 6 	 0 	 1 
0 	 2 	 7 	 0 	 1 
0 	 2 	 8 	 0 	 1 
0 	 2 	 9 	 0 	 1 
0 	 2 	 10 	 0 	 1 
0 	 2 	 11 	 0 	 1 
0 	 2 	 12 	 0 	 1 
0 	 2 	 13 	 0 	 1 
0 	 2 	 14 	 0 	 1 
0 	 2 	 15 	 0 	 1 
0 	 2 	 16 	 0 	 1 
0 	 2 	 17 	 0 	 1 
0 	 2 	 18 	 0 	 1 
0 	 2 	 19 	 0 	 1 
0 	 2 	 20 	 0 	 1 

0 	 3 	 -20 	 0 	 1 
0 	 3 	 -19 	 0 	 1 
0 	 3 	 -18 	 0 	 1 
0 	 3 	 -17 	 0 	 1 
0 	 3 	 -16 	 0 	 1 
0 	 3 	 -15 	 0 	 1 
0 	 3 	 -14 	 0 	 1 
0 	 3 	 -13 	 0 	 1 
0 	 3 	 -12 	 0 	 1 
0 	 3 	 -11 	 0 	 1 
0 	 3 	 -10 	 0 	 1 
0 	 3 	 -9 	 0 	 1 
0 	 3 	 -8 	 0 	 1 
0 	 3 	 -7 	 0 	 1 
0 	 3 	 -6 	 0 	 1 
0 	 3 	 -5 	 0 	 1 
0 	 3 	 -4 	 0 	 1 
0 	 3 	 -3 	 0 	 1 
0 	 3 	 -2 	 0 	 1 
0 	 3 	 -1 	 0 	 1 
0 	 3 	 0 	 0 	 1 
0 	 3 	 1 	 0 	 1 
0 	 3 	 2 	 0 	 1 
0 	 3 	 3 	 0 	 1 
0 	 3 	 4 	 0 	 1 
0 	 3 	 5 	 0 	 1 
0 	 3 	 6 	 0 	 1 
0 	 3 	 7 	 0 	 1 
0 	 3 	 8 	 0 	 1 
0 	 3 	 9 	 0 	 1 
0 	 3 	 10 	 0 	 1 
0 	 3 	 11 	 0 	 1 
0 	 3 	 12 	 0 	 1 
0 	 3 	 13 	 0 	 1 
0 	 3 	 14 	 0 	 1 
0 	 3 	 15 	 0 	 1 
0 	 3 	 16 	 0 	 1 
0 	 3 	 17 	 0 	 1 
0 	 3 	 18 	 0 	 1 
0 	 3 	 19 	 0 	 1 
0 	 3 	 20 	 0 	 1 

0 	 4 	 -20 	 0 	 1 
0 	 4 	 -19 	 0 	 1 
0 	 4 	 -18 	 0 	 1 
0 	 4 	 -17 	 0 	 1 
0 	 4 	 -16 	 0 	 1 
0 	 4 	 -15 	 0 	 1 
0 	 4 	 -14 	 0 	 1 
0 	 4 	 -13 	 0 	 1 
0 	 4 	 -12 	 0 	 1 
0 	 4 	 -11 	 0 	 1 
0 	 4 	 -10 	 0 	 1 
0 	 4 	 -9 	 0 	 1 
0 	 4 	 -8 	 0 	 1 
0 	 4 	 -7 	 0 	 1 
0 	 4 	 -6 	 0 	 1 
0 	 4 	 -5 	 0 	 1 
0 	 4 	 -4 	 0 	 1 
0 	 4 	 -3 	 0 	 1 
0 	 4 	 -2 	 0 	 1 
0 	 4 	 -1 	 0 	 1 
0 	 4 	 0 	 0 	 1 
0 	 4 	 1 	 0 	 1 
0 	 4 	 2 	 0 	 1 
0 	 4 	 3 	 0 	 1 
0 	 4 	 4 	 0 	 1 
0 	 4 	 5 	 0 	 1 
0 	 4 	 6 	 0 	 1 
0 	 4 	 7 	 0 	 1 
0 	 4 	 8 	 0 	 1 
0 	 4 	 9 	 0 	 1 
0 	 4 	 10 	 0 	 1 
0 	 4 	 11 	 0 	 1 
0 	 4 	 12 	 0 	 1 
0 	 4 	 13 	 0 	 1 
0 	 4 	 14 	 0 	 1 
0 	 4 	 15 	 0 	 1 
0 	 4 	 16 	 0 	 1 
0 	 4 	 17 	 0 	 1 
0 	 4 	 18 	 0 	 1 
0 	 4 	 19 	 0 	 1 
0 	 4 	 20 	 0 	 1 

0 	 5 	 -20 	 0 	 1 
0 	 5 	 -19 	 0 	 1 
0 	 5 	 -18 	 0 	 1 
0 	 5 	 -17 	 0 	 1 
0 	 5 	 -16 	 0 	 1 
0 	 5 	 -15 	 0 	 1 
0 	 5 	 -14 	 0 	 1 
0 	 5 	 -13 	 0 	 1 
0 	 5 	 -12 	 0 	 1 
0 	 5 	 -11 	 0 	 1 
0 	 5 	 -10 	 0 	 1 
0 	 5 	 -9 	 0 	 1 
0 	 5 	 -8 	 0 	 1 
0 	 5 	 -7 	 0 	 1 
0 	 5 	 -6 	 0 	 1 
0 	 5 	 -5 	 0 	 1 
0 	 5 	 -4 	 0 	 1 
0 	 5 	 -3 	 0 	 1 
0 	 5 	 -2 	 0 	 1 
0 	 5 	 -1 	 0 	 1 
0 	 5 	 0 	 0 	 1 
0 	 5 	 1 	 0 	 1 
0 	 5 	 2 	 0 	 1 
0 	 5 	 3 	 0 	 1 
0 	 5 	 4 	 0 	 1 
0 	 5 	 5 	 0 	 1 
0 	 5 	 6 	 0 	 1 
0 	 5 	 7 	 0 	 1 
0 	 5 	 8 	 0 	 1 
0 	 5 	 9 	 0 	 1 
0 	 5 	 10 	 0 	 1 
0 	 5 	 11 	 0 	 1 
0 	 5 	 12 	 0 	 1 
0 	 5 	 13 	 0 	 1 
0 	 5 	 14 	 0 	 1 
0 	 5 	 15 	 0 	 1 
0 	 5 	 16 	 0 	 1 
0 	 5 	 17 	 0 	 1 
0 	 5 	 18 	 0 	 1 
0 	 5 	 19 	 0 	 1 
0 	 5 	 20 	 0 	 1 

0 	 6 	 -20 	 0 	 1 
0 	 6 	 -19 	 0 	 1 
0 	 6 	 -18 	 0 	 1 
0 	 6 	 -17 	 0 	 1 
0 	 6 	 -16 	 0 	 1 
0 	 6 	 -15 	 0 	 1 
0 	 6 	 -14 	 0 	 1 
0 	 6 	 -13 	 0 	 1 
0 	 6 	 -12 	 0 	 1 
0 	 6 	 -11 	 0 	 1 
0 	 6 	 -10 	 0 	 1 
0 	 6 	 -9 	 0 	 1 
0 	 6 	 -8 	 0 	 1 
0 	 6 	 -7 	 0 	 1 
0 	 6 	 -6 	 0 	 1 
0 	 6 	 -5 	 0 	 1 
0 	 6 	 -4 	 0 	 1 
0 	 6 	 -3 	 0 	 1 
0 	 6 	 -2 	 0 	 1 
0 	 6 	 -1 	 0 	 1 
0 	 6 	 0 	 0 	 1 
0 	 6 	 1 	 0 	 1 
0 	 6 	 2 	 0 	 1 
0 	 6 	 3 	 0 	 1 
0 	 6 	 4 	 0 	 1 
0 	 6 	 5 	 0 	 1 
0 	 6 	 6 	 0 	 1 
0 	 6 	 7 	 0 	 1 
0 	 6 	 8 	 0 	 1 
0 	 6 	 9 	 0 	 1 
0 	 6 	 10 	 0 	 1 
0 	 6 	 11 	 0 	 1 
0 	 6 	 12 	 0 	 1 
0 	 6 	 13 	 0 	 1 
0 	 6 	 14 	 0 	 1 
0 	 6 	 15 	 0 	 1 
0 	 6 	 16 	 0 	 1 
0 	 6 	 17 	 0 	 1 
0 	 6 	 18 	 0 	 1 
0 	 6 	 19 	 0 	 1 
0 	 6 	 20 	 0 	 1 

0 	 7 	 -20 	 0 	 1 
0 	 7 	 -19 	 0 	 1 
0 	 7 	 -18 	 0 	 1 
0 	 7 	 -17 	 0 	 1 
0 	 7 	 -16 	 0 	 1 
0 	 7 	 -15 	 0 	 1 
0 	 7 	 -14 	 0 	 1 
0 	 7 	 -13 	 0 	 1 
0 	 7 	 -12 	 0 	 1 
0 	 7 	 -11 	 0 	 1 
0 	 7 	 -10 	 0 	 1 
0 	 7 	 -9 	 0 	 1 
0 	 7 	 -8 	 0 	 1 
0 	 7 	 -7 	 0 	 1 
0 	 7 	 -6 	 0 	 1 
0 	 7 	 -5 	 0 	 1 
0 	 7 	 -4 	 0 	 1 
0 	 7 	 -3 	 0 	 1 
0 	 7 	 -2 	 0 	 1 
0 	 7 	 -1 	 0 	 1 
0 	 7 	 0 	 0 	 1 
0 	 7 	 1 	 0 	 1 
0 	 7 	 2 	 0 	 1 
0 	 7 	 3 	 0 	 1 
0 	 7 	 4 	 0 	 1 
0 	 7 	 5 	 0 	 1 
0 	 7 	 6 	 0 	 1 
0 	 7 	 7 	 0 	 1 
0 	 7 	 8 	 0 	 1 
0 	 7 	 9 	 0 	 1 
0 	 7 	 10 	 0 	 1 
0 	 7 	 11 	 0 	 1 
0 	 7 	 12 	 0 	 1 
0 	 7 	 13 	 0 	 1 
0 	 7 	 14 	 0 	 1 
0 	 7 	 15 	 0 	 1 
0 	 7 	 16 	 0 	 1 
0 	 7 	 17 	 0 	 1 
0 	 7 	 18 	 0 	 1 
0 	 7 	 19 	 0 	 1 
0 	 7 	 20 	 0 	 1 

0 	 8 	 -20 	 0 	 1 
0 	 8 	 -19 	 0 	 1 
0 	 8 	 -18 	 0 	 1 
0 	 8 	 -17 	 0 	 1 
0 	 8 	 -16 	 0 	 1 
0 	 8 	 -15 	 0 	 1 
0 	 8 	 -14 	 0 	 1 
0 	 8 	 -13 	 0 	 1 
0 	 8 	 -12 	 0 	 1 
0 	 8 	 -11 	 0 	 1 
0 	 8 	 -10 	 0 	 1 
0 	 8 	 -9 	 0 	 1 
0 	 8 	 -8 	 0 	 1 
0 	 8 	 -7 	 0 	 1 
0 	 8 	 -6 	 0 	 1 
0 	 8 	 -5 	 0 	 1 
0 	 8 	 -4 	 0 	 1 
0 	 8 	 -3 	 0 	 1 
0 	 8 	 -2 	 0 	 1 
0 	 8 	 -1 	 0 	 1 
0 	 8 	 0 	 0 	 1 
0 	 8 	 1 	 0 	 1 
0 	 8 	 2 	 0 	 1 
0 	 8 	 3 	 0 	 1 
0 	 8 	 4 	 0 	 1 
0 	 8 	 5 	 0 	 1 
0 	 8 	 6 	 0 	 1 
0 	 8 	 7 	 0 	 1 
0 	 8 	 8 	 0 	 1 
0 	 8 	 9 	 0 	 1 
0 	 8 	 10 	 0 	 1 
0 	 8 	 11 	 0 	 1 
0 	 8 	 12 	 0 	 1 
0 	 8 	 13 	 0 	 1 
0 	 8 	 14 	 0 	 1 
0 	 8 	 15 	 0 	 1 
0 	 8 	 16 	 0 	 1 
0 	 8 	 17 	 0 	 1 
0 	 8 	 18 	 0 	 1 
0 	 8 	 19 	 0 	 1 
0 	 8 	 20 	 0 	 1 

0 	 9 	 -20 	 0 	 1 
0 	 9 	 -19 	 0 	 1 
0 	 9 	 -18 	 0 	 1 
0 	 9 	 -17 	 0 	 1 
0 	 9 	 -16 	 0 	 1 
0 	 9 	 -15 	 0 	 1 
0 	 9 	 -14 	 0 	 1 
0 	 9 	 -13 	 0 	 1 
0 	 9 	 -12 	 0 	 1 
0 	 9 	 -11 	 0 	 1 
0 	 9 	 -10 	 0 	 1 
0 	 9 	 -9 	 0 	 1 
0 	 9 	 -8 	 0 	 1 
0 	 9 	 -7 	 0 	 1 
0 	 9 	 -6 	 0 	 1 
0 	 9 	 -5 	 0 	 1 
0 	 9 	 -4 	 0 	 1 
0 	 9 	 -3 	 0 	 1 
0 	 9 	 -2 	 0 	 1 
0 	 9 	 -1 	 0 	 1 
0 	 9 	 0 	 0 	 1 
0 	 9 	 1 	 0 	 1 
0 	 9 	 2 	 0 	 1 
0 	 9 	 3 	 0 	 1 
0 	 9 	 4 	 0 	 1 
0 	 9 	 5 	 0 	 1 
0 	 9 	 6 	 0 	 1 
0 	 9 	 7 	 0 	 1 
0 	 9 	 8 	 0 	 1 
0 	 9 	 9 	 0 	 1 
0 	 9 	 10 	 0 	 1 
0 	 9 	 11 	 0 	 1 
0 	 9 	 12 	 0 	 1 
0 	 9 	 13 	 0 	 1 
0 	 9 	 14 	 0 	 1 
0 	 9 	 15 	 0 	 1 
0 	 9 	 16 	 0 	 1 
0 	 9 	 17 	 0 	 1 
0 	 9 	 18 	 0 	 1 
0 	 9 	 19 	 0 	 1 
0 	 9 	 20 	 0 	 1 

0 	 10 	 -20 	 0 	 1 
0 	 10 	 -19 	 0 	 1 
0 	 10 	 -18 	 0 	 1 
0 	 10 	 -17 	 0 	 1 
0 	 10 	 -16 	 0 	 1 
0 	 10 	 -15 	 0 	 1 
0 	 10 	 -14 	 0 	 1 
0 	 10 	 -13 	 0 	 1 
0 	 10 	 -12 	 0 	 1 
0 	 10 	 -11 	 0 	 1 
0 	 10 	 -10 	 0 	 1 
0 	 10 	 -9 	 0 	 1 
0 	 10 	 -8 	 0 	 1 
0 	 10 	 -7 	 0 	 1 
0 	 10 	 -6 	 0 	 1 
0 	 10 	 -5 	 0 	 1 
0 	 10 	 -4 	 0 	 1 
0 	 10 	 -3 	 0 	 1 
0 	 10 	 -2 	 0 	 1 
0 	 10 	 -1 	 0 	 1 
0 	 10 	 0 	 0 	 1 
0 	 10 	 1 	 0 	 1 
0 	 10 	 2 	 0 	 1 
0 	 10 	 3 	 0 	 1 
0 	 10 	 4 	 0 	 1 
0 	 10 	 5 	 0 	 1 
0 	 10 	 6 	 0 	 1 
0 	 10 	 7 	 0 	 1 
0 	 10 	 8 	 0 	 1 
0 	 10 	 9 	 0 	 1 
0 	 10 	 10 	 0 	 1 
0 	 10 	 11 	 0 	 1 
0 	 10 	 12 	 0 	 1 
0 	 10 	 13 	 0 	 1 
0 	 10 	 14 	 0 	 1 
0 	 10 	 15 	 0 	 1 
0 	 10 	 16 	 0 	 1 
0 	 10 	 17 	 0 	 1 
0 	 10 	 18 	 0 	 1 
0 	 10 	 19 	 0 	 1 
0 	 10 	 20 	 0 	 1 

0 	 11 	 -20 	 0 	 1 
0 	 11 	 -19 	 0 	 1 
0 	 11 	 -18 	 0 	 1 
0 	 11 	 -17 	 0 	 1 
0 	 11 	 -16 	 0 	 1 
0 	 11 	 -15 	 0 	 1 
0 	 11 	 -14 	 0 	 1 
0 	 11 	 -13 	 0 	 1 
0 	 11 	 -12 	 0 	 1 
0 	 11 	 -11 	 0 	 1 
0 	 11 	 -10 	 0 	 1 
0 	 11 	 -9 	 0 	 1 
0 	 11 	 -8 	 0 	 1 
0 	 11 	 -7 	 0 	 1 
0 	 11 	 -6 	 0 	 1 
0 	 11 	 -5 	 0 	 1 
0 	 11 	 -4 	 0 	 1 
0 	 11 	 -3 	 0 	 1 
0 	 11 	 -2 	 0 	 1 
0 	 11 	 -1 	 0 	 1 
0 	 11 	 0 	 0 	 1 
0 	 11 	 1 	 0 	 1 
0 	 11 	 2 	 0 	 1 
0 	 11 	 3 	 0 	 1 
0 	 11 	 4 	 0 	 1 
0 	 11 	 5 	 0 	 1 
0 	 11 	 6 	 0 	 1 
0 	 11 	 7 	 0 	 1 
0 	 11 	 8 	 0 	 1 
0 	 11 	 9 	 0 	 1 
0 	 11 	 10 	 0 	 1 
0 	 11 	 11 	 0 	 1 
0 	 11 	 12 	 0 	 1 
0 	 11 	 13 	 0 	 1 
0 	 11 	 14 	 0 	 1 
0 	 11 	 15 	 0 	 1 
0 	 11 	 16 	 0 	 1 
0 	 11 	 17 	 0 	 1 
0 	 11 	 18 	 0 	 1 
0 	 11 	 19 	 0 	 1 
0 	 11 	 20 	 0 	 1 

0 	 12 	 -20 	 0 	 1 
0 	 12 	 -19 	 0 	 1 
0 	 12 	 -18 	 0 	 1 
0 	 12 	 -17 	 0 	 1 
0 	 12 	 -16 	 0 	 1 
0 	 12 	 -15 	 0 	 1 
0 	 12 	 -14 	 0 	 1 
0 	 12 	 -13 	 0 	 1 
0 	 12 	 -12 	 0 	 1 
0 	 12 	 -11 	 0 	 1 
0 	 12 	 -10 	 0 	 1 
0 	 12 	 -9 	 0 	 1 
0 	 12 	 -8 	 0 	 1 
0 	 12 	 -7 	 0 	 1 
0 	 12 	 -6 	 0 	 1 
0 	 12 	 -5 	 0 	 1 
0 	 12 	 -4 	 0 	 1 
0 	 12 	 -3 	 0 	 1 
0 	 12 	 -2 	 0 	 1 
0 	 12 	 -1 	 0 	 1 
0 	 12 	 0 	 0 	 1 
0 	 12 	 1 	 0 	 1 
0 	 12 	 2 	 0 	 1 
0 	 12 	 3 	 0 	 1 
0 	 12 	 4 	 0 	 1 
0 	 12 	 5 	 0 	 1 
0 	 12 	 6 	 0 	 1 
0 	 12 	 7 	 0 	 1 
0 	 12 	 8 	 0 	 1 
0 	 12 	 9 	 0 	 1 
0 	 12 	 10 	 0 	 1 
0 	 12 	 11 	 0 	 1 
0 	 12 	 12 	 0 	 1 
0 	 12 	 13 	 0 	 1 
0 	 12 	 14 	 0 	 1 
0 	 12 	 15 	 0 	 1 
0 	 12 	 16 	 0 	 1 
0 	 12 	 17 	 0 	 1 
0 	 12 	 18 	 0 	 1 
0 	 12 	 19 	 0 	 1 
0 	 12 	 20 	 0 	 1 

0 	 13 	 -20 	 0 	 1 
0 	 13 	 -19 	 0 	 1 
0 	 13 	 -18 	 0 	 1 
0 	 13 	 -17 	 0 	 1 
0 	 13 	 -16 	 0 	 1 
0 	 13 	 -15 	 0 	 1 
0 	 13 	 -14 	 0 	 1 
0 	 13 	 -13 	 0 	 1 
0 	 13 	 -12 	 0 	 1 
0 	 13 	 -11 	 0 	 1 
0 	 13 	 -10 	 0 	 1 
0 	 13 	 -9 	 0 	 1 
0 	 13 	 -8 	 0 	 1 
0 	 13 	 -7 	 0 	 1 
